Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,西安交通大学,渡渡鸟幼儿园,11,1553,Gold,杨栋,王之坤,陈业元,N,N
2,2,浙江大学,幽灵乐团,10,1099,Gold,唐嘉辰,李昌栋,黎伟诺,N,N
3,3,清华大学,窗边明月,10,1148,Gold,徐翊轩,杨骏昭,陈孙立,N,N
4,4,北京大学,校门外歪脖树上的鸽子,10,1151,Gold,吴清月,罗煜翔,胡晋侨,N,N
5,,杭州电子科技大学,五点共圆,10,1336,Gold,祝之禺,陈惇显,顾奕臻,N,N
6,5,北京大学,__,10,1528,Gold,张宇博,王子健,陆宇暄,N,N
7,6,南京邮电大学,Cirtrus,10,1750,Gold,何乐晗,陈以信,陈天,N,N
8,,北京大学,一塔湖图,9,896,Gold,方尤乐,陈威宇,黄兆鋆,N,N
9,7,北京交通大学,芜湖菜,9,1084,Gold,吴泽航,胡雨轩,蔡伟斌,N,N
10,8,北京邮电大学,零叉八C,9,1249,Gold,孙明志,林麒,梁昊骞,N,N
11,,清华大学,三杯两盏咸酒,9,1478,Gold,夏天睿,张正非,郎思轲,N,N
12,9,上海交通大学,竖起天线,9,1491,Gold,潘开森,石昕怡,翟明舒,N,N
13,10,华侨大学,红日初升,9,1573,Gold,徐聪,赵雨扬,郑量,N,N
14,11,复旦大学,阿凡提的小毛驴快跑,9,1589,Gold,王韵哲,聂绍珩,陆佳艺,N,N
15,12,郑州大学,有被而来,9,1602,Gold,张四维,苏同,陈洋,N,N
16,,北京邮电大学,常数抛光机,9,1853,Gold,柳畅,范珈诚,陈程,N,N
17,,浙江大学,无人知晓的队伍名称,8,707,Gold,凌子恒,樊睿,龙香遇,N,N
18,13,电子科技大学,新月玫瑰,8,859,Gold,彭俊强,梁子辉,熊子良,N,N
19,14,南方科技大学,南方科技大学-阿尔高,8,978,Gold,周珈伊,董廷臻,陈浩然,N,N
20,15,吉林大学,世末鸽者,8,1127,Gold,周栩航,王品欢,过思齐,N,N
21,16,北京航空航天大学,试炼者,8,1184,Gold,肖思炀,陈铭煊,龙鹏宇,N,N
22,17,中国科学技术大学,罚时要罚到无穷,8,1240,Gold,吕泽龙,周南翔,曾相如,N,N
23,18,华东师范大学,二环己基碳二亚胺,8,1247,Gold,杨弘,毛博超,王子涵,N,N
24,19,上海交通大学,欧文艾迪,8,1351,Gold,杨烨程,董易昕,金凌啸,N,N
25,,中国人民解放军国防科技大学,重生,8,1387,Gold,亢世嘉,方家琦,邱昊中,N,N
26,20,复旦大学,FCT太难啦,8,1389,Gold,傅尔正,田翔宇,程鹏志,N,N
27,,浙江师范大学,师傅把妖怪抓走了,8,1399,Gold,余知航,周天辰,陈卓丞,N,N
28,21,北京邮电大学,鸿蒙,7,828,Gold,刘涛,段锦宇,谭海川,N,N
29,,北京大学,代码养生学,7,840,Gold,司嘉祺,周书予,李佳衡,N,N
30,,同济大学,机械化就输不了,7,855,Gold,姜梓恒,王宇其,赵屹雄,N,N
31,22,中国科学院大学,退役老年观光团,7,927,Gold,傅宣登,沈云汉,陈天乐,N,N
32,,北京航空航天大学,仰望星空,7,951,Gold,宋航洋,沈中海,邹增禹,N,N
33,23,东南大学,超高校级的打铁爆零,7,977,Gold,殷开颜,范之闽,郑祎凡,N,N
34,24,南京邮电大学,宝键锋从磨砺出,7,1025,Gold,李清远,王一权,赵一舟,N,N
35,,哈尔滨工程大学,撒网摸鱼,7,1061,Gold,李健楠,赵子琦,赵熠扬,N,N
36,25,湖南文理学院,两级反转,7,1162,Silver,吴宇斌,唐京,谭杨盈,N,N
37,26,复旦大学,黑色骑士团,7,1181,Silver,刘嘉辰,温昕岳,高庆麾,N,N
38,27,青岛大学,AC钙奶,7,1186,Silver,任树冰,赵鑫,马明皓,N,N
39,28,浙江工业大学,明日之盛,7,1203,Silver,杨俊尧,莫清宇,董烨,N,N
40,,厦门大学,你又会了,7,1209,Silver,吴朱冠宇,常少哲,王环,N,N
41,,东华大学,华东大学二队,7,1215,Silver,吴迪,方荥荣,郁宙,N,N
42,29,上海交通大学,正道的光,7,1252,Silver,洪熠佳,王硕,赵启元,N,N
43,30,哈尔滨工业大学,皆大欢喜,7,1285,Silver,唐贝利,颜伟业,黄逸,N,N
44,31,香港大学,赛博大学人会梦到空中云课堂么,7,1304,Silver,刘柏成,吕治衡,姜佳禾,N,N
45,32,中山大学,秉烛,7,1305,Silver,庄天衢,黄途亮,黄雨庭,N,N
46,33,北京理工大学,ddl战神,7,1822,Silver,朱子林,林恺,邹知秋,N,N
47,34,南京理工大学,跃迁引擎,6,538,Silver,徐杨世杰,王兵,颜俊梁,N,N
48,,南昌大学,超新星,6,611,Silver,徐梓豪,汪建勋,赖澄宇,N,N
49,,上海交通大学,希神始缘,6,618,Silver,季利恒,徐凯亮,陈和达,N,N
50,35,哈尔滨工业大学（深圳）,骗分大队,6,724,Silver,曹杨,沈文,潘思成,N,N
51,36,湖南大学,图一乐,6,729,Silver,欧健,王文斌,陈雨航,N,N
52,37,清华大学,如此队名，如何AC？,6,736,Silver,任清宇,张艺缤,迟凯文,N,N
53,38,哈尔滨理工大学,哈理工6队,6,742,Silver,吴国庆,杨睿,鞠永全,N,N
54,39,北京理工大学,putchar,6,790,Silver,徐子懋,杨思远,龙水彬,N,N
55,,哈尔滨工程大学,你们队名就叫这个呀,6,791,Silver,唐益,彭金浩,罗先镇,N,N
56,40,南京大学,吊打yyb,6,797,Silver,欧丰宁,邹忠奇,陈晓,N,N
57,41,长沙理工大学,男同竟在我身边,6,879,Silver,李行,潘成,龙佳,N,N
58,,中国石油大学（华东）,狗蛋无敌,6,881,Silver,刘德鑫,臧怡茹,陈怡霖,N,N
59,42,中国人民大学,我舅知道！,6,916,Silver,丁海鹏,徐炜,杨铭基,N,N
60,,湘潭大学,我们教练会出签到题,6,948,Silver,袁泽,贺强,雷智凯,N,N
61,43,北京航空航天大学,地址过低,6,971,Silver,李英龙,胡琎,陈源,N,N
62,44,北京理工大学,暴搜流派掌门人,6,1029,Silver,冯凯拓,张成喆,陈思远,N,N
