Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,逆十字,10,1258,Gold,周雨扬,孔朝哲,潘骏跃,N,N
2,2,复旦大学,小喵喵不喜欢计算几何,10,1469,Gold,刘明君,薛振梁,裘家浩,N,N
3,3,清华大学,小万邦,8,825,Gold,房励行,王思齐,袁方舟,N,N
4,4,西安电子科技大学,辛几何旋律,8,1256,Gold,冯畅,周灿,湛忠胜,N,N
5,,北京大学,我垫你们底,8,1324,Gold,叶炜宁,周驿东,王欣灏,N,N
6,5,杭州电子科技大学,吾有一數，名之曰「誒」,7,671,Gold,侯津涛,白旭东,郑凯心,N,N
7,6,香港大学,赛博大学人会梦到空中云课堂么？,7,696,Gold,刘柏成,吕治衡,姜佳禾,N,N
8,7,浙江大学,Solitary Dream,7,698,Gold,于倚岑,彭博,褚写庭,N,N
9,8,上海交通大学,空隙之线,7,779,Gold,倪文韬,唐嘉铭,李至丹,N,N
10,9,中山大学,SYSU_午餐奶,7,881,Gold,傅畅,刘宇轩,刘瀚之,N,N
11,,广东外语外贸大学,纸上牧羊,7,913,Gold,曾迪鸿,林冠权,汪鹏飞,N,N
12,,中山大学,SYSU_未完待续,7,969,Gold,叶汇亘,牛彦栋,谢岳良,N,N
13,10,北京交通大学,崂山啤酒酒花,7,1008,Gold,张雨辰,许铮睿,黄奕恒,N,N
14,11,清华大学,人下人下人下人,7,1043,Gold,姜迅驰,曾致远,袁桢淏,N,N
15,,清华大学,浮夸的鹏鹏,7,1050,Gold,周禹,肖士程,苏畅,N,N
16,12,北京航空航天大学,奔跑的小菜鸡,7,1050,Gold,张瑞星,薛欣,陈纪源,N,N
17,,浙江大学,Refrain,7,1562,Gold,冯骁,卢旻昊,褚朱钇恒,N,N
18,,上海交通大学,奥德修斯之筏,6,369,Gold,叶瑶琦,朱玮昊,王照梓,N,N
19,13,湘潭大学,七海千秋,6,506,Gold,刘伟舟,王首勋,谢雅真,N,N
20,14,西安交通大学,渡渡鸟幼儿园,6,510,Gold,杨栋,王之坤,陈业元,N,N
21,15,南京大学,Icdereap,6,527,Gold,姚嘉和,张浩宇,林荣恩,N,N
22,,北京航空航天大学,我不知道.png,6,549,Gold,冯玮琪,廖纪童,牟钰,N,N
23,16,浙江师范大学,红鲤鱼与绿鲤鱼与驴,6,567,Gold,叶佳伟,毛科捷,陈汪怡,N,N
24,17,上海科技大学,未来道具研究所,6,574,Gold,何开,徐鸿图,李文超,N,N
25,18,电子科技大学,UESTC_Guest_WiFi,6,577,Gold,周湘阳,弋竞为,杨贺然,N,N
26,19,中南大学,ACM太难玩了,6,596,Gold,刘峰玮,罗泰帅,黄文豪,N,N
27,,福州大学,给我也整一个,6,629,Gold,洪磊,苏锦程,郑学贵,N,N
28,20,浙江工业大学,铁华团,6,631,Gold,侯潇扬,徐浩凯,李泽昊,N,N
29,21,北京大学,超长宕机,6,675,Gold,周易,王泽州,王颖,N,N
30,22,浙江大学,狂月,6,696,Gold,张静圳,穆梓楠,陈天宇,N,N
31,23,哈尔滨工业大学（深圳）,骗分大队,6,696,Gold,曹杨,沈文,潘思成,N,N
32,,浙大城市学院,童话术士,6,715,Gold,孙华阳,庄博伟,苗皓淇,N,N
33,24,吉林大学,西天取金,6,722,Gold,卢胤,徐小权,陈泽祺,N,N
34,25,北京理工大学,克鲁斯卡尔大战克苏鲁,6,729,Gold,张庚辰,李一文,陈鸿韬,N,N
35,,哈尔滨工业大学,希望气球没事,6,738,Gold,曲喆平,王晟喆,王玺澎,N,N
36,26,山东大学,皮卡丘,6,756,Silver,于涛,刘建东,张烜,N,N
37,,山东大学,没文化和不会写,6,764,Silver,甘安霆,翟鹏翼,陈思辰,N,N
37,27,浙江财经大学,渣男天团,6,797,Silver,刘洁英,周人豪,童沈阳,N,N
39,28,南昌大学,超新星,6,839,Silver,徐梓豪,汪建勋,赖澄宇,N,N
40,29,安徽大学,铜须卡德加,6,878,Silver,余思龙,胡涵之,闵烁,N,N
41,30,中国人民大学,口古合鸟,6,886,Silver,刘书玮,罗碚,陈志朋,N,N
42,31,北京大学,好丽友派,6,898,Silver,刘俊豪,曾言,杭心语,N,N
43,32,华南理工大学,我亲爱的大佬请带带我,6,900,Silver,章子寅,郑冰升,黎伟煊,N,N
44,,杭州电子科技大学,不敢说话,6,931,Silver,任凌昕,石佳玥,金济众,N,N
45,33,华东师范大学,_,6,935,Silver,朱桐,谢嘉东,赵云翔,N,N
46,,香港大学,浑元形意太极门,6,1034,Silver,宋骏凯,林佳貽,王安哲,N,N
47,34,南京大学,源赖氏佐田,5,411,Silver,张天陵,沈俞霖,王予曦,N,N
48,,武汉大学,啊啊啊啊唉,5,421,Silver,岳志澄,王忠涛,蔡旭昀,N,N
49,35,河海大学常州校区,无情铁首,5,456,Silver,余天骋,卢昶舟,陈建洲,N,N
50,,合肥工业大学,摇头熊猫,5,462,Silver,周运沛,李僖郴,陆达明,N,N
51,,南京信息工程大学,咕咕咕,5,485,Silver,李文韬,沈逸凡,黄兴睿,N,N
52,36,青岛科技大学,三尺剑,5,503,Silver,李泉志,解焜焱,马英杰,N,N
53,37,天津大学,熊出没,5,505,Silver,何志凌,张辰宇,李书乐,N,N
54,38,杭州电子科技大学,我们都有光明的前途,5,506,Silver,万仞峰,刘铭洁,郑伊杰,N,N
55,39,中国科学技术大学,0x03A2C940,5,524,Silver,徐笑阳,邱慕凡,郭一凡,N,N
56,40,复旦大学,自由泳,5,540,Silver,力维辰,孙若诗,马金辰,N,N
57,,华南农业大学,测评机不讲武德,5,541,Silver,傅传蓁,古镇豪,许一凡,N,N
58,41,西南民族大学,新旺仔一家,5,560,Silver,丁浩楠,徐嘉宸,蒋弦峰,N,N
59,42,中国石油大学（华东）,荧光闪烁,5,588,Silver,张森,赵成,郭楠,N,N
60,43,北京航空航天大学,合法字符串,5,596,Silver,姜一凡,王赵安,蒋贤蒙,N,N
61,44,山东理工大学,lzz上分之旅,5,597,Silver,周煜浩,张林,林瑞泽,N,N
62,45,南京邮电大学,三相之力,5,612,Silver,刁煜凡,柏广凡,陈锐,N,N
63,,香港科技大学,節約能源:)上一層落兩層請使用樓梯,5,622,Silver,张重,温子奇,赵奕喆,N,N
64,46,北京航空航天大学,将来我一定比你聪明比你强,5,628,Silver,常容熇,王梓浔,黄云依,N,N
65,47,华中师范大学,队长女装就是女队了,5,631,Silver,刘一泓,胡婧,黄杉,N,N
66,48,浙江工商大学,能力突出,5,635,Silver,林斌武,王龙,胡柯青,N,N
67,,福州大学,悠锐卡,5,641,Silver,吴少冰,罗继鸿,陈金杰,N,N
68,,山东大学,天青,5,650,Silver,姚传洲,师浩晏,郝继泰,N,N
69,,北京邮电大学,恶魔妈妈买面膜,5,652,Silver,严林,邓翔玮,郑金亮,N,N
69,49,山东科技大学,雷神之子号,5,668,Silver,孙国栋,韩晨晨,齐敬文,N,N
71,50,西安交通大学,说爆零就爆零,5,675,Silver,刘宇轩,郭修屹,陈执镇,N,N
71,50,北京邮电大学,幸福安心养老所,5,678,Silver,林新元,程泓涛,董英杰,N,N
73,,电子科技大学,UESTC_魔法少女,5,685,Silver,周津宇,胡佳金,褚童,N,N
74,52,华中科技大学,翻了这么久一定很累吧,5,693,Silver,余泽坤,叶佳,魏天行,N,N
