Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,清华大学,喵喵喵喵喵喵喵喵喵喵喵喵,10,1054,Gold,严彬玮,周任飞,张哲宇,N,N
2,,清华大学,《关于最后十分钟才组好的佛系队裸考是什么垃圾这事》,10,1426,Gold,曹天佑,袁无为,魏精,N,N
3,2,中山大学,无人之境,9,1032,Gold,谢立辉,邓明昱,邝启鹏,N,N
4,3,上海交通大学,不朽之夜,8,592,Gold,刘尔之,孙司宇,孟良谕,N,N
5,4,复旦大学,轨道喵,8,681,Gold,刘明君,薛振梁,裘家浩,N,N
6,5,浙江大学,你的林皇，无限张狂,8,971,Gold,詹哲远,陈逸,黄文翀,N,N
7,,浙江师范大学,师傅把妖怪抓走了,8,1084,Gold,余知航,周天辰,陈卓丞,N,N
8,6,清华大学,大佬我能做你的小弟吗,8,1156,Gold,肖易佳,陈江伦,陈通,N,N
9,7,香港大学,浑元形意太极门,7,495,Gold,宋骏凯,林佳貽,王安哲,N,N
10,8,华侨大学,红日初升,7,646,Gold,徐聪,赵雨扬,郑量,N,N
11,9,上海大学,降维打击,7,649,Gold,周天澜,林世铨,罗哲焱,N,N
12,10,杭州电子科技大学,BonVoyage,7,727,Gold,尹协童,施毅恒,王淳洋,N,N
13,11,北京航空航天大学,CE：从爆零开始的ACM生活,7,780,Gold,姜维翰,李元恺,袁熙,N,N
14,12,中国科学院大学,这么小声还想打ACM,7,788,Gold,李龙成,杨泽超,楼持恒,N,N
15,13,东北师范大学,凛冬将逝,7,803,Gold,唐佳成,赵梦宇,邓鹏辉,N,N
16,14,中山大学,中山大学_go语言是世界上最好的语言,7,818,Gold,谭嘉伟,车春江,陈泰霖,N,N
16,14,华南理工大学,PTY的小迷妹,7,822,Gold,冼昊明,李珲,谢丰泽,N,N
18,,浙江工业大学,铁华团,7,823,Gold,侯潇扬,徐浩凯,李泽昊,N,N
19,16,天津大学,谁在呼叫舰,7,840,Gold,李雨寒,杨鸣宇,焦晓宇,N,N
20,17,东南大学,机饲料,7,949,Gold,肖炯辰,薛江天,高圣沂,N,N
20,17,北京理工大学,克鲁斯卡尔大战克苏鲁,7,984,Gold,张庚辰,李一文,陈鸿韬,N,N
22,,北京邮电大学,打代码,6,477,Gold,代皓燃,佘俊达,马玉龙,N,N
23,19,浙江大学,subconscious,6,490,Gold,李彦奎,潘恩皓,陈思睿,N,N
24,,香港中文大学,玩能源,6,501,Gold,Kwan Ting JeremyCHOW,Tsz Chun WONG,Yik Chun WONG,N,N
25,,电子科技大学,UESTC_swimmer,6,504,Gold,冯书瀚,刘轩,张鸿皓,N,N
26,,华南理工大学,我亲爱的大佬请带带我,6,517,Gold,章子寅,郑冰升,黎伟煊,N,N
27,20,重庆邮电大学,老八秘制小汉堡,6,518,Gold,严齐平,张子旋,张潇尹,N,N
28,21,杭州电子科技大学,OwO,6,519,Gold,徐趱鹏,赵章恺,高义雄,N,N
29,22,哈尔滨工程大学,噔噔咚,6,522,Gold,官毅,王昊宇,王洋,N,N
29,,电子科技大学,UESTC_OFFLINE,6,525,Gold,凤奕鸣,程一同,郑涵文,N,N
31,23,暨南大学,错误答案自动机,6,532,Gold,林奕森,邓欣涛,高皓天,N,N
32,,大连理工大学,dlut11,6,532,Gold,吴励宁,李冠霖,江雨桐,N,N
33,24,浙江师范大学,婺城区老年人复健中心,6,553,Gold,伍泰炜,余慧,黄正结,N,N
34,25,北京航空航天大学,铲车人,6,555,Gold,傅云濠,王兴罡,黄旭民,N,N
35,26,哈尔滨工业大学（深圳）,下岗工人再就业,6,560,Gold,彭博濠,秦诗雨,范艺杰,N,N
36,27,南京大学,猪猪今天吃了吗,6,567,Silver,史丰萁,朱宇博,林海波,N,N
37,28,北京交通大学,一笑奈何,6,585,Silver,张开元,徐一龙,王浩辰,N,N
38,29,山东大学,大白兔奶糖,6,585,Silver,侯冠立,卢子辰,蔡汶澄,N,N
39,30,华南理工大学,赌徒,6,601,Silver,丁琪,周瑞东,陈烔晖,N,N
40,31,杭州电子科技大学,轮到我了,6,605,Silver,刘智杰,吉兴龙,汤丰瑜,N,N
41,,中南大学,我写得巨对,6,617,Silver,叶惠生,吴止境,胡开添,N,N
42,32,南京大学,名字短一点的筛凝艾慕,6,655,Silver,周子杰,陈思睿,黄新炜,N,N
43,,浙江理工大学,我先放一盒卫生纸在这,6,656,Silver,何光赋,胡成一,金奇,N,N
44,33,四川农业大学,懂的都懂,6,657,Silver,何雨航,李昆鸿,李豪,N,N
45,,南京大学,冰冰三元一个十元三个,6,663,Silver,朱景舟,柴致远,王宇峣,N,N
