Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,重生之我是菜狗,11,1861,Gold,王展鹏,蒋凌宇,罗煜翔,N,N
2,2,清华大学,有手有脚,10,1410,Gold,罗恺,陈于思,杨珖,N,N
3,,清华大学,青蛙市中心,10,1412,Gold,李白天,彭思进,黄子宽,N,N
4,,清华大学,别人 ac 我们 g,10,1534,Gold,张隽恺,胡昊,胡杨,N,N
5,3,浙江大学,虚空之梦,9,1055,Gold,彭博,褚写庭,陈逸,N,N
6,,北京大学,摆烂人,9,1266,Gold,钱易,彭博,冯施源,N,N
7,,清华大学,一更人,9,1512,Gold,周欣,叶卓睿,虞皓翔,N,N
8,4,南京大学,triple_dogs,9,1564,Gold,刘弘洋,王淳扬,张昕渊,N,N
9,,浙江大学,幽灵门槛,8,918,Gold,唐嘉辰,李昌栋,黎伟诺,N,N
10,5,南京邮电大学,究竟怎么会是呢？,8,969,Gold,何乐晗,陈以信,赵一舟,N,N
11,6,上海交通大学,柳,8,1049,Gold,王照梓,叶瑶琦,姜天乐,N,N
12,,北京大学,大黄鸭信徒,8,1145,Gold,陈知轩,张记僖,孙嘉伟,N,N
13,,浙江大学,未命名1,8,1221,Gold,樊睿,严子轩,周轩熠,N,N
14,7,北京理工大学,ddl战神,8,1257,Gold,林恺,朱子林,邹知秋,N,N
15,,浙江大学,nameless story,8,1316,Gold,凌子恒,胡家齐,林响烨,N,N
16,8,中国科学技术大学,AC之恋,8,1342,Gold,舒英特,王涵斌,殷跃然,N,N
17,,上海交通大学,银色子弹,8,1373,Gold,陈则佳,江若泓,戚洋,N,N
18,9,北京航空航天大学,自由落体,8,1411,Gold,金炼凯,杨振炜,唐怡浜,N,N
19,10,北京师范大学,Zood,8,1416,Gold,林泽瀚,李鼎懋,卢炜文,N,N
20,11,中山大学,中山大学_破晓,8,1512,Gold,欧梓洋,古鸣浩,吴景图,N,N
21,12,同济大学,长日将尽,8,1544,Gold,储德明,姜梓恒,朱泽凯,N,N
22,13,南开大学,只用spfa队,7,790,Gold,郭军凯,李嘉豪,孔德嵘,N,N
23,,南京大学,虚幻黄昏,7,925,Gold,丁天行,单启程,欧丰宁,N,N
24,,北京航空航天大学,欺负獭没有数理基础？,7,978,Gold,闵家旭,崔绍锞,张羿凡,N,N
25,14,西安交通大学,渡渡鸟幼儿园,7,1001,Gold,陈业元,王之坤,杨栋,N,N
26,15,暨南大学,Reimei,7,1013,Gold,麦骏,文荫华,詹方榕,N,N
27,16,哈尔滨工业大学(深圳),删库跑路,7,1042,Gold,卢郡然,任秦江,梁珊,N,N
28,,中国科学技术大学,丝路市西套村代表队,7,1045,Gold,周翟恩和,洪文杰,吴开元,N,N
29,,上海交通大学,梦想天生,7,1069,Silver,张明驰,张景博,林一凡,N,N
30,17,北京邮电大学,三只蒟蒻,7,1128,Silver,王佳禾,区庆亮,张天泽,N,N
31,18,兰州大学,粉碎煎饼,7,1274,Silver,王徐笙,孟戴浓达,狄农雨,N,N
32,19,中国科学院大学,骑士与龙,7,1281,Silver,楼持恒,胡景佩,栗祺菁,N,N
33,20,西南交通大学,站着挣钱,7,1317,Silver,郑星宇,赵一冰,郭欣森,N,N
34,21,南京理工大学,立一摸断平三色猫猫头,7,1338,Silver,金朝哲,陈一涵,郭佳樊,N,N
35,,南京理工大学,核平猫猫头,7,1349,Silver,何平,陈涣焕,蔡佳铭,N,N
36,22,西北工业大学,只能说，啊，该摸了,6,735,Silver,徐浩洋,汪梁森,管孙笛,N,N
37,,北京航空航天大学,我不知道.png,6,785,Silver,牟钰,廖纪童,冯玮琪,N,N
38,23,杭州电子科技大学,杭电6队,6,789,Silver,陈载元,潘思成,姜正,N,N
39,,杭州电子科技大学,杭电1队,6,796,Silver,尹吴潇,戴志炜,赵政和,N,N
40,,北京理工大学,去马车整点挂件,6,860,Silver,于瀚文,焦鹏屹,孙嘉珺,N,N
41,24,国防科技大学,自然选择号,6,891,Silver,亢世嘉,吴佳英,左传奇,N,N
42,25,武汉大学,ReLIFE,6,921,Silver,吴飞洋,侯哲,刘锡锐,N,N
43,26,华东理工大学,想队名比过题还难,6,925,Silver,杭业晟,胡文波,曾剑涛,N,N
44,27,华中科技大学,偏远小渔村传统弱校,6,938,Silver,李根,陈贤坤,李明翰,N,N
45,28,南方科技大学,南方科技大学-敦刻尔克,6,948,Silver,黄少霖,陈天乐,邓清文,N,N
45,28,电子科技大学,UESTC_Guest_WiFi,6,948,Silver,弋竞为,喻鹏云,朱铖昊,N,N
47,30,福州大学,东北饺子馆,6,964,Silver,邓宇凡,王奕然,丁凌烁,N,N
48,,北京航空航天大学,大吉大利，今晚吃 mian();,6,975,Silver,潘天蔚,郝泽钰,刘佳睿,N,N
49,,杭州电子科技大学,杭电4队,6,992,Silver,高义雄,赵章恺,柴汉锋,N,N
50,31,香港中文大学,有冇諗法,6,998,Silver,黃梓謙,鄭希哲,周禮言,N,N
51,32,南京信息工程大学,跟不上榜,6,1015,Silver,洪伟,董兆琦,潘小康,N,N
52,,南京大学,流火,6,1029,Silver,陈弘毅,曹逸中,姚嘉和,N,N
53,,香港中文大学,零知孢子,6,1035,Silver,衛家熙,吳有孚,,N,N
54,33,香港浸会大学,回收退役选手,6,1037,Silver,赵云翔,宋昊洋,芦钰棋,N,N
55,,西安交通大学,写都写了，交一发吧,6,1083,Silver,贺睿杰,周品良,杨一帆,N,N
56,34,山东大学(威海),听我说，先别急,6,1112,Silver,周润杰,陈格,严一涵,N,N
57,,武汉大学,且行且观,6,1131,Silver,杨宇轩,杨宇杰,陈昭宪,N,N
57,,北京邮电大学,野鸡大队,6,1131,Silver,任飞,李知拙,鲍睿钊,N,N
59,,上海交通大学,破晓狂想曲,6,1160,Silver,肖景琦,袁莘睿,邵嘉南,N,N
60,35,湘潭大学,参宿一,6,1172,Silver,田楚天,胡梁宇,肖志林,N,N
61,36,上海大学,夜归人,6,1185,Silver,陶钧,金之谦,冀昱昊,N,N
62,37,四川大学,基本无害,6,1188,Silver,苏臻,李名骕,顾曦骏,N,N
63,,同济大学,达拉崩吧班德贝迪卜多比鲁翁,6,1211,Silver,孙治弘,刘依扬,张乐天,N,N
64,38,河海大学常州校区,几何杀手,6,1231,Silver,俞天骋,王英吉,孙嘉昊,N,N
65,39,湖南师范大学,咖啡猫,5,498,Silver,黄沛遥,姜远仁,王辰宇,N,N
66,40,中南大学,明日之风的三重奏,5,513,Silver,赵伯阳,徐国琛,李玄靖,N,N
67,41,华中师范大学,烧冻鸡翅,5,548,Silver,熊吉祥,钟鸣,郭子寒,N,N
68,,西北工业大学,黎明与黄昏,5,578,Silver,李天舒,赵一平,池久涛,N,N
69,42,哈尔滨工程大学,下北泽沼气动力学园学园偶像同好会兼恋恋的信仰者教团改二,5,625,Silver,徐子涵,王昊宇,彭金浩,N,N
70,43,西北农林科技大学,爱农值很高的农友,5,630,Silver,蔡祺峰,寻真,孟宪城,N,N
71,44,浙江师范大学,猫猫把妖怪抓走了,5,655,Silver,温启涛,蒋润浩,厉文浩,N,N
72,45,西南财经大学,前进！冲击！突破！,5,670,Silver,钟明汉,杨文昊,张硕,N,N
73,46,武汉理工大学,树上猫猫虫,5,673,Silver,赵家荣,闫卢昊,易琢然,N,N
74,47,西安电子科技大学,Flukehn,5,691,Silver,冯畅,湛忠胜,周灿,N,N
75,,北京邮电大学,珊瑚宫心海,5,692,Silver,董凯文,高畅,程泓涛,N,N
76,,北京大学,老年旅游队,5,697,Silver,林枫,翁伟捷,刘和金,N,N
77,,电子科技大学,UESTC_十夏花火,5,700,Silver,朱子涵,山佩永,吴立俊,N,N
78,48,深圳大学,Emanatry,5,702,Silver,杨熙全,郑博瀚,张艺轩,N,N
79,49,复旦大学,黑莲,5,718,Silver,刘澈,张润哲,吴思鸿,N,N
80,50,天津大学,文化先和初中生同步,5,739,Silver,杜鼎勋,谢天驰,张博凯,N,N
81,51,中国石油大学（华东）,白铃女子学院,5,740,Silver,陈恺毅,王川,徐锦洋,N,N
82,,浙江师范大学,我真6，嘻嘻,5,747,Silver,王学远,陈增豪,吴铮,N,N
82,52,山东大学,说好不秃,5,747,Silver,门建彤,张丁祎,吴羲勇,N,N
82,52,香港中文大学（深圳）,龙大相遇快乐划水,5,747,Silver,夏禹扬,蒋一歌,赵子逸,N,N
85,54,大连理工大学,暂无名,5,751,Bronze,李胤驰,陈常杰,夏鸿康,N,N
86,,山东大学,追光者,5,779,Bronze,战绪丰,庞天祥,袁胜利,N,N
87,55,太原理工大学,为嘛黄瓜绿,5,783,Bronze,李沛霖,何奇璋,李昌荣,N,N
88,56,西南大学,啦啦队,5,787,Bronze,陈雯丽,何一,徐畅,N,N
88,,中南大学,摸鱼自动机,5,787,Bronze,黄道煜,周霄羽,张皓然,N,N
90,,哈尔滨工业大学(深圳),问就是你队,5,788,Bronze,孙宇开,羊柯伍,李源,N,N
91,,西安电子科技大学,喵喵喵,5,789,Bronze,张亲翰,罗杰,刘朝旭,N,N
