Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,逆十字,10,1412,Gold,周雨扬,孔朝哲,潘骏跃,N,N
2,2,清华大学,小万邦,10,1632,Gold,房励行,王思齐,袁方舟,N,N
3,3,浙江大学,Phantom Ensemble,9,1410,Gold,唐嘉辰,李昌栋,黎伟诺,N,N
4,,清华大学,三个顶俩,9,1482,Gold,朱震霆,王修涵,闫书弈,N,N
5,4,中山大学,FLL,8,1368,Gold,傅畅,刘宇轩,刘瀚之,N,N
6,5,杭州电子科技大学,五点共圆,7,703,Gold,祝之禺,陈惇显,顾奕臻,N,N
7,6,复旦大学,黑色骑士团,7,842,Gold,刘嘉辰,温昕岳,高庆麾,N,N
8,,浙江大学,Refrain,7,1157,Gold,冯骁,卢旻昊,褚朱钇恒,N,N
9,7,东南大学,艾斯易悠都行,7,1159,Gold,陈启航,陈曦,韩数,N,N
10,8,浙江师范大学,师傅把妖怪抓走了,7,1305,Gold,余知航,周天辰,陈卓丞,N,N
11,9,北京大学,超长宕机,6,803,Gold,周易,王泽州,王颖,N,N
12,10,华南理工大学,Soha,6,820,Gold,丁琪,周瑞东,陈烔晖,N,N
13,,浙江大学,大英帝星林加德,6,867,Gold,詹哲远,陈逸,黄文翀,N,N
14,,华东师范大学,下划线,6,893,Gold,朱桐,谢嘉东,赵云翔,N,N
15,,北京大学,你们这不是欺负人呢嘛,6,1025,Gold,汤云开,苏博文,赵春源,N,N
16,11,上海交通大学,正道的光,6,1034,Gold,洪熠佳,王硕,赵启元,N,N
17,,中南大学,ACM太难玩了,6,1114,Gold,刘峰玮,罗泰帅,黄文豪,N,N
18,12,南京大学,别卷了别卷了,6,1127,Gold,刘响,陈政弛,黄铮,N,N
19,13,北京理工大学,马拉车拉马,6,1128,Gold,刘志丹,杨予宸,焦鹏屹,N,N
20,14,上海交通大学,欧文艾迪,6,1194,Gold,杨烨程,董易昕,金凌啸,N,N
21,,清华大学,人下人下人下人,6,1347,Gold,姜迅驰,曾致远,袁桢淏,N,N
22,15,河南农业大学,选对赛区少打两年,5,440,Gold,徐本奇,温春阳,金志礼,N,N
23,16,北京航空航天大学,试炼者,5,539,Gold,肖思炀,陈铭煊,龙鹏宇,N,N
24,17,哈尔滨工业大学,庆大包与摩托车维修艺术,5,600,Gold,徐放,李成蹊,王晓亮,N,N
25,18,复旦大学,阿凡提的小毛驴快跑,5,601,Silver,王韵哲,聂绍珩,陆佳艺,N,N
26,19,浙江工业大学,耶梦加得,5,602,Silver,周阳,张祎龙,戚梦赞,N,N
26,,广东外语外贸大学,纸上牧羊,5,604,Silver,曾迪鸿,林冠权,汪鹏飞,N,N
28,20,哈尔滨工程大学,撒网摸鱼,5,620,Silver,李健楠,赵子琦,赵熠扬,N,N
29,21,浙江农林大学,三只小老鼠,5,641,Silver,王子超,顾博盛,黄磊,N,N
30,,中山大学,YXN,5,679,Silver,叶汇亘,牛彦栋,谢岳良,N,N
31,22,南京航空航天大学,我全都要,5,686,Silver,吴家庆,晏开文,沈凌翔,N,N
32,23,四川大学,究极土块,5,712,Silver,刘知源,夏文羿,廖浩深,N,N
33,24,江南大学,你是学生吧,5,715,Silver,徐润天,杜昊,许轲,N,N
34,25,哈尔滨工业大学（威海）,三鸽战队,5,722,Silver,吴家铭,唐泓煊,陈靖昌,N,N
35,,华中师范大学,不能旅游的旅游队,5,727,Silver,刘一泓,周于嵛,王毅,N,N
36,26,国防科技大学,作风优良,5,746,Silver,张珂豪,邱纯硕,陈斯隆,N,N
37,27,杭州电子科技大学,我们都有光明的前途,5,761,Silver,万仞峰,刘铭洁,郑伊杰,N,N
38,,浙江工业大学,ZJUT3 ,5,769,Silver,方泽雨,杨存远,陈志强,N,N
39,28,北京化工大学,啊这,5,780,Silver,庄禹,王诗海,花犇,N,N
40,29,北京航空航天大学,合法字符串,5,823,Silver,姜一凡,王赵安,蒋贤蒙,N,N
41,,大连理工大学,优哉游哉,5,844,Silver,余澍莘,卢品仁,杨朗,N,N
42,30,上海理工大学,这队名好难取,5,851,Silver,任灏贇,李明懿,王必成,N,N
43,31,浙大宁波理工学院,灯火辛勤,5,854,Silver,余建赛,刘东昕,吴亦初,N,N
44,32,西安电子科技大学,灵稽一动,5,862,Silver,买志斌,张帆,柴东辰,N,N
45,33,西南大学,SWU_new,5,864,Silver,余少尉,秦凯鑫,陈雯丽,N,N
46,,华东师范大学,阿萨打发撒,5,898,Silver,朱睿诚,李云帆,王鼎,N,N
47,,山东大学,大白兔奶糖,5,936,Silver,侯冠立,卢子辰,蔡汶澄,N,N
48,34,同济大学,机械化就输不了,5,953,Silver,姜梓恒,王宇其,赵屹雄,N,N
